Product_ID,Product_Name,Category,Price
101,AWAY,books,11.85
102,scientist,FURNITURE,435.07
103,Miss,  Toys  ,394.8
104,  single  ,TOYS,139.1
105,  company  ,ELECTRONICS,
106,  ,Furniture,47.5
107,  ever  ,ELECTRONICS,287.7
108,management,Toys,177.42
109,Wide,  Electronics  ,495.83
110,OFFICER,electronics,74.03
111,which,Toys,424.38
112,Doctor,Toys,130.37
113,TASK,FURNITURE,275.17
114,Candidate,furniture,238.35
115,responsibility,books,72.02
116,  around  ,Books,295.54
117,Fast,  Toys  ,349.14
118,  pressure  ,Toys,109.33
119,team,Books,119.91
120,lose,BOOKS,349.88
121,  land  ,books,250.88
122,Store,  Furniture  ,235.85
123,POPULATION,TOYS,310.78
124,Box,Furniture,458.37
125,Mother,  Electronics  ,476.88
126,WRONG,  Furniture  ,95.71
127,  natural  ,FURNITURE,
128,deal,Books,328.48
129,mother,Books,327.61
130,  trouble  ,electronics,179.04
131,draw,Toys,440.04
132,Establish,  Electronics  ,166.86
133,DESCRIBE,Furniture,389.98
134,Stage,furniture,237.06
135,Body,TOYS,91.26
136,  relationship  ,Electronics,112.06
137,expert,Electronics,20.82
138,Interview,FURNITURE,280.87
139,Stay,ELECTRONICS,446.32
140,Customer,electronics,472.49
141,KEEP,Electronics,
142,money,Toys,119.69
143,FRIEND,Electronics,121.69
144,PLAYER,books,29.03
145,Owner,  Electronics  ,194.22
146,TOTAL,Electronics,166.07
147,Admit,ELECTRONICS,262.36
148,  capital  ,toys,413.84
149,serious,  Toys  ,456.82
150,agree,  Furniture  ,411.61
151,Woman,books,53.27
152,  life  ,Toys,156.26
153,Wife,  Furniture  ,66.7
154,Player,Furniture,298.33
155,WHITE,BOOKS,225.82
156,Middle,furniture,429.55
157,possible,toys,296.32
158,hundred,toys,153.0
159,  consider  ,Toys,37.89
160,  imagine  ,Books,209.9
161,  relationship  ,  Books  ,294.47
162,REQUIRE,Books,246.3
163,  someone  ,Electronics,114.01
164,  right  ,Toys,125.09
165,  contain  ,  Electronics  ,143.29
166,PHONE,electronics,349.6
167,Story,BOOKS,149.7
168,  ,BOOKS,402.51
169,Can,  Books  ,163.09
170,  go  ,Furniture,348.81
171,near,  Electronics  ,74.33
172,  direction  ,electronics,66.76
173,Method,ELECTRONICS,440.01
174,INTERNATIONAL,Books,216.35
175,NICE,Electronics,424.66
176,MATERIAL,  Books  ,134.38
177,Term,Furniture,18.61
178,STATE,Electronics,424.19
179,  election  ,Toys,430.63
180,BILL,  Books  ,343.61
181,DOWN,Electronics,58.83
182,  city  ,  Furniture  ,139.89
183,Single,furniture,484.81
184,deep,Electronics,407.04
185,  decide  ,electronics,389.65
186,  table  ,Furniture,164.11
187,artist,ELECTRONICS,231.95
188,  into  ,Furniture,320.13
189,  let  ,toys,383.91
190,Seem,ELECTRONICS,318.22
191,Movie,books,300.43
192,according,furniture,264.59
193,KNOWLEDGE,FURNITURE,104.81
194,hot,  Electronics  ,160.35
195,  eight  ,electronics,14.86
196,BLACK,Electronics,141.19
197,  us  ,  Furniture  ,469.69
198,Television,  Books  ,176.2
199,question,Books,8.59
200,standard,Furniture,324.61
201,eat,Books,482.08
202,garden,  Furniture  ,440.9
203,THEM,  Toys  ,367.29
204,Control,BOOKS,223.3
205,Politics,Toys,334.12
206,  soon  ,furniture,442.72
207,TEAM,Electronics,61.53
208,  you  ,BOOKS,272.32
209,over,Books,199.74
210,  test  ,  Furniture  ,188.64
211,executive,TOYS,321.57
212,kitchen,  Furniture  ,
213,Also,Furniture,359.77
214,  mean  ,  Toys  ,347.43
215,soldier,books,309.6
216,Strategy,Books,372.8
217,Goal,Furniture,149.44
218,fine,Furniture,469.0
219,FORCE,Toys,381.51
220,Important,  Electronics  ,474.06
221,  eat  ,furniture,178.56
222,coach,TOYS,185.47
223,SHOULD,Books,439.71
224,Through,  Books  ,205.46
225,POSSIBLE,Electronics,86.89
226,job,Toys,80.2
227,CITY,  Toys  ,5.18
228,Two,FURNITURE,335.41
229,  maybe  ,  Furniture  ,72.8
230,SHOW,toys,173.99
231,Simply,Electronics,17.32
232,THEM,books,113.47
233,EVERYONE,furniture,299.88
234,Really,furniture,437.02
235,ART,electronics,416.9
236,history,  Toys  ,119.01
237,Since,Furniture,63.86
238,Young,toys,383.23
239,Sure,  Electronics  ,351.88
240,  prevent  ,  Furniture  ,227.01
241,Step,BOOKS,318.44
242,  single  ,Books,291.91
243,of,Electronics,169.92
244,Get,Electronics,85.64
245,  set  ,Electronics,244.56
246,Bad,electronics,268.12
247,Star,Books,401.32
248,ELSE,FURNITURE,52.51
249,Itself,Furniture,19.35
250,MR,BOOKS,237.36
251,  ,Furniture,258.22
252,couple,  Electronics  ,111.77
253,  western  ,Books,106.02
254,Social,Electronics,153.53
255,box,Toys,101.71
256,EVERY,FURNITURE,430.9
257,BETWEEN,toys,314.1
258,Region,FURNITURE,187.15
259,involve,electronics,302.59
260,Every,Books,251.75
261,Lawyer,Furniture,412.52
262,Collection,Electronics,377.59
263,cell,electronics,106.45
264,Last,  Furniture  ,221.93
265,if,electronics,256.68
266,Represent,  Books  ,302.09
267,EASY,Electronics,333.49
268,Might,books,96.3
269,  wind  ,Books,198.91
270,  glass  ,  Toys  ,280.17
271,Scientist,TOYS,24.61
272,compare,books,445.51
273,MANY,Toys,66.18
274,Feeling,books,492.37
275,Bit,Toys,443.36
276,Appear,Electronics,263.32
277,FLY,  Books  ,408.46
278,  national  ,TOYS,474.71
279,Walk,Furniture,467.74
280,about,Books,310.96
281,Deep,Books,155.57
282,NEXT,Furniture,148.77
283,Lay,FURNITURE,274.3
284,say,Toys,175.8
285,  health  ,FURNITURE,79.79
286,SHOULDER,ELECTRONICS,322.37
287,Teach,Books,59.32
288,  hotel  ,Books,31.61
289,Easy,  Electronics  ,
290,  member  ,Toys,138.0
291,  lay  ,Books,87.2
292,MODEL,ELECTRONICS,150.65
293,poor,Toys,182.52
294,  among  ,Toys,236.34
295,SISTER,TOYS,421.32
296,Kitchen,TOYS,205.94
297,Begin,electronics,29.13
298,  hospital  ,TOYS,142.21
299,  ,Furniture,364.42
300,Arrive,  Furniture  ,11.72
301,condition,ELECTRONICS,168.03
302,  both  ,Books,338.43
303,tell,ELECTRONICS,225.99
